Fact_ID,State,Year,Population,FK_Substance_Group,FK_User_Type,Population_Totals,Population_Rates,FK_Age_Group
40001,Alabama,2002,380805,Marijuana,New Users,20,59.732,12_17
40002,Alaska,2002,69400,Marijuana,New Users,4,77.736,12_17
40003,Arizona,2002,485521,Marijuana,New Users,25,64.179,12_17
40004,Arkansas,2002,232986,Marijuana,New Users,13,66.71,12_17
40005,California,2002,3140739,Marijuana,New Users,158,58.786,12_17
40006,Colorado,2002,385648,Marijuana,New Users,23,75.936,12_17
40007,Connecticut,2002,295157,Marijuana,New Users,20,83.099,12_17
40008,Delaware,2002,66477,Marijuana,New Users,4,79.415,12_17
40009,District of Columbia,2002,33192,Marijuana,New Users,2,68.901,12_17
40010,Florida,2002,1346297,Marijuana,New Users,77,67.541,12_17
40011,Georgia,2002,748467,Marijuana,New Users,40,59.333,12_17
40012,Hawaii,2002,103803,Marijuana,New Users,6,70.172,12_17
40013,Idaho,2002,128028,Marijuana,New Users,7,63.64,12_17
40014,Illinois,2002,1082396,Marijuana,New Users,58,62.369,12_17
40015,Indiana,2002,541577,Marijuana,New Users,25,54.761,12_17
40016,Iowa,2002,246347,Marijuana,New Users,12,53.682,12_17
40017,Kansas,2002,241178,Marijuana,New Users,11,51.272,12_17
40018,Kentucky,2002,327727,Marijuana,New Users,19,69.493,12_17
40019,Louisiana,2002,406965,Marijuana,New Users,20,56.358,12_17
40020,Maine,2002,108861,Marijuana,New Users,8,83.056,12_17
40021,Maryland,2002,476696,Marijuana,New Users,28,66.743,12_17
40022,Massachusetts,2002,508325,Marijuana,New Users,31,77.447,12_17
40023,Michigan,2002,895753,Marijuana,New Users,51,67.834,12_17
40024,Minnesota,2002,446545,Marijuana,New Users,26,68.649,12_17
40025,Mississippi,2002,257508,Marijuana,New Users,11,45.486,12_17
40026,Missouri,2002,491394,Marijuana,New Users,30,71.002,12_17
40027,Montana,2002,81697,Marijuana,New Users,6,90.805,12_17
40028,Nebraska,2002,152465,Marijuana,New Users,9,66.346,12_17
40029,Nevada,2002,184670,Marijuana,New Users,12,84.232,12_17
40030,New Hampshire,2002,113457,Marijuana,New Users,8,88.15,12_17
40031,New Jersey,2002,719658,Marijuana,New Users,43,66.24,12_17
40032,New Mexico,2002,176611,Marijuana,New Users,11,82.554,12_17
40033,New York,2002,1562426,Marijuana,New Users,93,68.483,12_17
40034,North Carolina,2002,685632,Marijuana,New Users,46,78.134,12_17
40035,North Dakota,2002,54387,Marijuana,New Users,3,69.59,12_17
40036,Ohio,2002,987986,Marijuana,New Users,56,66.158,12_17
40037,Oklahoma,2002,302673,Marijuana,New Users,17,63.342,12_17
40038,Oregon,2002,297076,Marijuana,New Users,17,69.408,12_17
40039,Pennsylvania,2002,1028108,Marijuana,New Users,60,66.53,12_17
40040,Rhode Island,2002,85295,Marijuana,New Users,5,78.864,12_17
40041,South Carolina,2002,345629,Marijuana,New Users,20,65.633,12_17
40042,South Dakota,2002,69742,Marijuana,New Users,5,83.853,12_17
40043,Tennessee,2002,473558,Marijuana,New Users,22,50.895,12_17
40044,Texas,2002,2018953,Marijuana,New Users,114,65.191,12_17
40045,Utah,2002,229447,Marijuana,New Users,10,44.975,12_17
40046,Vermont,2002,53924,Marijuana,New Users,4,103.502,12_17
40047,Virginia,2002,607438,Marijuana,New Users,38,73.392,12_17
40048,Washington,2002,528622,Marijuana,New Users,31,71.435,12_17
40049,West Virginia,2002,139163,Marijuana,New Users,9,72.889,12_17
40050,Wisconsin,2002,482686,Marijuana,New Users,30,71.661,12_17
40051,Wyoming,2002,45377,Marijuana,New Users,3,64.353,12_17
40052,Alabama,2003,381563,Marijuana,New Users,19,57.088,12_17
40053,Alaska,2003,68492,Marijuana,New Users,4,77.867,12_17
40054,Arizona,2003,498693,Marijuana,New Users,27,66.348,12_17
40055,Arkansas,2003,233184,Marijuana,New Users,12,57.542,12_17
40056,California,2003,3209345,Marijuana,New Users,169,61.018,12_17
40057,Colorado,2003,388793,Marijuana,New Users,24,79.195,12_17
40058,Connecticut,2003,295229,Marijuana,New Users,21,85.348,12_17
40059,Delaware,2003,67658,Marijuana,New Users,4,65.887,12_17
40060,District of Columbia,2003,33384,Marijuana,New Users,2,59.079,12_17
40061,Florida,2003,1376459,Marijuana,New Users,71,59.333,12_17
40062,Georgia,2003,763519,Marijuana,New Users,37,56.072,12_17
40063,Hawaii,2003,100549,Marijuana,New Users,5,74.496,12_17
40064,Idaho,2003,127839,Marijuana,New Users,7,65.401,12_17
40065,Illinois,2003,1089901,Marijuana,New Users,59,61.566,12_17
40066,Indiana,2003,546518,Marijuana,New Users,27,57.637,12_17
40067,Iowa,2003,243608,Marijuana,New Users,12,52.555,12_17
40068,Kansas,2003,237856,Marijuana,New Users,13,60.363,12_17
40069,Kentucky,2003,336908,Marijuana,New Users,20,73.09,12_17
40070,Louisiana,2003,403315,Marijuana,New Users,21,58.623,12_17
40071,Maine,2003,109954,Marijuana,New Users,6,72.125,12_17
40072,Maryland,2003,485901,Marijuana,New Users,27,63.718,12_17
40073,Massachusetts,2003,512838,Marijuana,New Users,29,72.817,12_17
40074,Michigan,2003,902553,Marijuana,New Users,51,66.869,12_17
40075,Minnesota,2003,442828,Marijuana,New Users,24,64.39,12_17
40076,Mississippi,2003,256982,Marijuana,New Users,11,43.881,12_17
40077,Missouri,2003,490972,Marijuana,New Users,28,68.97,12_17
40078,Montana,2003,79960,Marijuana,New Users,5,86.342,12_17
40079,Nebraska,2003,150669,Marijuana,New Users,8,61.677,12_17
40080,Nevada,2003,192336,Marijuana,New Users,11,68.309,12_17
40081,New Hampshire,2003,114731,Marijuana,New Users,7,74.487,12_17
40082,New Jersey,2003,733853,Marijuana,New Users,41,60.99,12_17
40083,New Mexico,2003,175489,Marijuana,New Users,11,87.619,12_17
40084,New York,2003,1571709,Marijuana,New Users,86,62.796,12_17
40085,North Carolina,2003,701982,Marijuana,New Users,39,64.133,12_17
40086,North Dakota,2003,52643,Marijuana,New Users,3,67.481,12_17
40087,Ohio,2003,983181,Marijuana,New Users,53,62.47,12_17
40088,Oklahoma,2003,296942,Marijuana,New Users,15,59.07,12_17
40089,Oregon,2003,297247,Marijuana,New Users,17,69.537,12_17
40090,Pennsylvania,2003,1034227,Marijuana,New Users,57,63.284,12_17
40091,Rhode Island,2003,87330,Marijuana,New Users,5,73.838,12_17
40092,South Carolina,2003,356468,Marijuana,New Users,20,62.303,12_17
40093,South Dakota,2003,68362,Marijuana,New Users,4,72.401,12_17
40094,Tennessee,2003,475614,Marijuana,New Users,23,53.597,12_17
40095,Texas,2003,2038642,Marijuana,New Users,102,57.748,12_17
40096,Utah,2003,229590,Marijuana,New Users,9,41.57,12_17
40097,Vermont,2003,53561,Marijuana,New Users,4,88.156,12_17
40098,Virginia,2003,617003,Marijuana,New Users,29,53.038,12_17
40099,Washington,2003,527419,Marijuana,New Users,29,64.707,12_17
40100,West Virginia,2003,138269,Marijuana,New Users,8,70.166,12_17
40101,Wisconsin,2003,478926,Marijuana,New Users,28,69.829,12_17
40102,Wyoming,2003,43883,Marijuana,New Users,3,69.667,12_17
40103,Alabama,2004,380150,Marijuana,New Users,17,51.428,12_17
40104,Alaska,2004,68162,Marijuana,New Users,4,71.5,12_17
40105,Arizona,2004,510698,Marijuana,New Users,28,68.894,12_17
40106,Arkansas,2004,232095,Marijuana,New Users,11,55.108,12_17
40107,California,2004,3290671,Marijuana,New Users,164,57.477,12_17
40108,Colorado,2004,392822,Marijuana,New Users,24,74.678,12_17
40109,Connecticut,2004,299013,Marijuana,New Users,19,79.91,12_17
40110,Delaware,2004,67454,Marijuana,New Users,4,68.35,12_17
40111,District of Columbia,2004,34350,Marijuana,New Users,2,61.086,12_17
40112,Florida,2004,1404055,Marijuana,New Users,73,60.007,12_17
40113,Georgia,2004,775954,Marijuana,New Users,35,50.271,12_17
40114,Hawaii,2004,100585,Marijuana,New Users,5,62.499,12_17
40115,Idaho,2004,127552,Marijuana,New Users,6,55.463,12_17
40116,Illinois,2004,1099965,Marijuana,New Users,58,59.355,12_17
40117,Indiana,2004,549720,Marijuana,New Users,29,61.418,12_17
40118,Iowa,2004,240059,Marijuana,New Users,11,48.695,12_17
40119,Kansas,2004,233656,Marijuana,New Users,12,57.027,12_17
40120,Kentucky,2004,336219,Marijuana,New Users,17,59.068,12_17
40121,Louisiana,2004,398611,Marijuana,New Users,19,52.294,12_17
40122,Maine,2004,108414,Marijuana,New Users,6,74.833,12_17
40123,Maryland,2004,492847,Marijuana,New Users,26,61.242,12_17
40124,Massachusetts,2004,511301,Marijuana,New Users,26,63.198,12_17
40125,Michigan,2004,907902,Marijuana,New Users,49,62.168,12_17
40126,Minnesota,2004,437674,Marijuana,New Users,23,60.53,12_17
40127,Mississippi,2004,255659,Marijuana,New Users,11,47.433,12_17
40128,Missouri,2004,486907,Marijuana,New Users,25,59.048,12_17
40129,Montana,2004,77617,Marijuana,New Users,5,76.86,12_17
40130,Nebraska,2004,148189,Marijuana,New Users,7,49.989,12_17
40131,Nevada,2004,201110,Marijuana,New Users,11,63.256,12_17
40132,New Hampshire,2004,115243,Marijuana,New Users,6,59.008,12_17
40133,New Jersey,2004,745809,Marijuana,New Users,35,52.565,12_17
40134,New Mexico,2004,173285,Marijuana,New Users,10,78.306,12_17
40135,New York,2004,1584677,Marijuana,New Users,79,57.342,12_17
40136,North Carolina,2004,715542,Marijuana,New Users,33,53.132,12_17
40137,North Dakota,2004,50426,Marijuana,New Users,3,53.455,12_17
40138,Ohio,2004,980119,Marijuana,New Users,49,56.716,12_17
40139,Oklahoma,2004,292067,Marijuana,New Users,15,57.587,12_17
40140,Oregon,2004,297935,Marijuana,New Users,18,74.217,12_17
40141,Pennsylvania,2004,1035623,Marijuana,New Users,55,61.002,12_17
40142,Rhode Island,2004,88122,Marijuana,New Users,5,76.276,12_17
40143,South Carolina,2004,358954,Marijuana,New Users,19,60.715,12_17
40144,South Dakota,2004,66529,Marijuana,New Users,4,58.986,12_17
40145,Tennessee,2004,477163,Marijuana,New Users,25,60.162,12_17
40146,Texas,2004,2052845,Marijuana,New Users,88,49.183,12_17
40147,Utah,2004,226903,Marijuana,New Users,10,42.905,12_17
40148,Vermont,2004,52660,Marijuana,New Users,3,73.243,12_17
40149,Virginia,2004,622210,Marijuana,New Users,29,50.9,12_17
40150,Washington,2004,527538,Marijuana,New Users,25,53.018,12_17
40151,West Virginia,2004,136919,Marijuana,New Users,6,54.913,12_17
40152,Wisconsin,2004,472397,Marijuana,New Users,27,67.99,12_17
40153,Wyoming,2004,42257,Marijuana,New Users,3,69.326,12_17
40154,Alabama,2005,384026,Marijuana,New Users,17,48.558,12_17
40155,Alaska,2005,66349,Marijuana,New Users,3,58.982,12_17
40156,Arizona,2005,522702,Marijuana,New Users,27,65.501,12_17
40157,Arkansas,2005,233328,Marijuana,New Users,12,63.36,12_17
40158,California,2005,3293484,Marijuana,New Users,155,54.006,12_17
40159,Colorado,2005,389561,Marijuana,New Users,22,69.351,12_17
40160,Connecticut,2005,299315,Marijuana,New Users,17,68.15,12_17
40161,Delaware,2005,69102,Marijuana,New Users,4,62.834,12_17
40162,District of Columbia,2005,36509,Marijuana,New Users,2,61.151,12_17
40163,Florida,2005,1405376,Marijuana,New Users,71,57.347,12_17
40164,Georgia,2005,800536,Marijuana,New Users,34,46.204,12_17
40165,Hawaii,2005,101214,Marijuana,New Users,4,58.992,12_17
40166,Idaho,2005,130072,Marijuana,New Users,6,50.23,12_17
40167,Illinois,2005,1100792,Marijuana,New Users,53,55.03,12_17
40168,Indiana,2005,546441,Marijuana,New Users,28,56.371,12_17
40169,Iowa,2005,244036,Marijuana,New Users,12,52.683,12_17
40170,Kansas,2005,234307,Marijuana,New Users,11,51.83,12_17
40171,Kentucky,2005,339347,Marijuana,New Users,16,53.86,12_17
40172,Louisiana,2005,385359,Marijuana,New Users,19,54.551,12_17
40173,Maine,2005,107149,Marijuana,New Users,6,75.514,12_17
40174,Maryland,2005,488407,Marijuana,New Users,23,53.635,12_17
40175,Massachusetts,2005,510948,Marijuana,New Users,27,63.343,12_17
40176,Michigan,2005,901407,Marijuana,New Users,46,58.249,12_17
40177,Minnesota,2005,437254,Marijuana,New Users,22,57.106,12_17
40178,Mississippi,2005,257913,Marijuana,New Users,11,46.098,12_17
40179,Missouri,2005,490572,Marijuana,New Users,22,50.339,12_17
40180,Montana,2005,77917,Marijuana,New Users,4,63.931,12_17
40181,Nebraska,2005,148761,Marijuana,New Users,7,45.978,12_17
40182,Nevada,2005,206623,Marijuana,New Users,11,62.83,12_17
40183,New Hampshire,2005,113655,Marijuana,New Users,6,57.72,12_17
40184,New Jersey,2005,741478,Marijuana,New Users,38,57.193,12_17
40185,New Mexico,2005,173970,Marijuana,New Users,9,72.705,12_17
40186,New York,2005,1587906,Marijuana,New Users,79,56.922,12_17
40187,North Carolina,2005,723206,Marijuana,New Users,33,51.877,12_17
40188,North Dakota,2005,50524,Marijuana,New Users,2,45.088,12_17
40189,Ohio,2005,977997,Marijuana,New Users,50,57.238,12_17
40190,Oklahoma,2005,295821,Marijuana,New Users,14,52.582,12_17
40191,Oregon,2005,297574,Marijuana,New Users,17,71.246,12_17
40192,Pennsylvania,2005,1029986,Marijuana,New Users,53,58.594,12_17
40193,Rhode Island,2005,87162,Marijuana,New Users,5,71.411,12_17
40194,South Carolina,2005,361860,Marijuana,New Users,18,54.191,12_17
40195,South Dakota,2005,66214,Marijuana,New Users,3,51.103,12_17
40196,Tennessee,2005,486247,Marijuana,New Users,24,57.223,12_17
40197,Texas,2005,2083455,Marijuana,New Users,94,51.67,12_17
40198,Utah,2005,233270,Marijuana,New Users,10,39.364,12_17
40199,Vermont,2005,51757,Marijuana,New Users,3,77.52,12_17
40200,Virginia,2005,621149,Marijuana,New Users,31,56.091,12_17
40201,Washington,2005,532240,Marijuana,New Users,26,56.818,12_17
40202,West Virginia,2005,136941,Marijuana,New Users,6,53.668,12_17
40203,Wisconsin,2005,469879,Marijuana,New Users,24,57.341,12_17
40204,Wyoming,2005,42307,Marijuana,New Users,2,65.907,12_17
40205,Alabama,2006,386639,Marijuana,New Users,18,50.085,12_17
40206,Alaska,2006,64383,Marijuana,New Users,3,58.348,12_17
40207,Arizona,2006,531706,Marijuana,New Users,26,54.375,12_17
40208,Arkansas,2006,234358,Marijuana,New Users,11,57.329,12_17
40209,California,2006,3251070,Marijuana,New Users,150,52.316,12_17
40210,Colorado,2006,387286,Marijuana,New Users,23,78.479,12_17
40211,Connecticut,2006,296415,Marijuana,New Users,17,67.006,12_17
40212,Delaware,2006,70333,Marijuana,New Users,3,51.395,12_17
40213,District of Columbia,2006,37965,Marijuana,New Users,2,61.751,12_17
40214,Florida,2006,1389340,Marijuana,New Users,68,55.108,12_17
40215,Georgia,2006,822659,Marijuana,New Users,36,48.667,12_17
40216,Hawaii,2006,99465,Marijuana,New Users,5,63.343,12_17
40217,Idaho,2006,132866,Marijuana,New Users,6,50.15,12_17
40218,Illinois,2006,1094265,Marijuana,New Users,52,53.984,12_17
40219,Indiana,2006,539431,Marijuana,New Users,29,59.756,12_17
40220,Iowa,2006,248086,Marijuana,New Users,13,53.575,12_17
40221,Kansas,2006,235408,Marijuana,New Users,11,48.288,12_17
40222,Kentucky,2006,341772,Marijuana,New Users,19,67.394,12_17
40223,Louisiana,2006,372138,Marijuana,New Users,19,55.412,12_17
40224,Maine,2006,105652,Marijuana,New Users,6,68.669,12_17
40225,Maryland,2006,478466,Marijuana,New Users,24,56.306,12_17
40226,Massachusetts,2006,510890,Marijuana,New Users,29,71.8,12_17
40227,Michigan,2006,888059,Marijuana,New Users,45,57.843,12_17
40228,Minnesota,2006,436903,Marijuana,New Users,22,54.761,12_17
40229,Mississippi,2006,259663,Marijuana,New Users,11,41.893,12_17
40230,Missouri,2006,494026,Marijuana,New Users,24,51.73,12_17
40231,Montana,2006,79003,Marijuana,New Users,4,65.346,12_17
40232,Nebraska,2006,149456,Marijuana,New Users,7,46.557,12_17
40233,Nevada,2006,211067,Marijuana,New Users,9,55.421,12_17
40234,New Hampshire,2006,111310,Marijuana,New Users,6,63.167,12_17
40235,New Jersey,2006,727090,Marijuana,New Users,36,52.888,12_17
40236,New Mexico,2006,172181,Marijuana,New Users,9,75.666,12_17
40237,New York,2006,1579916,Marijuana,New Users,80,57.596,12_17
40238,North Carolina,2006,728599,Marijuana,New Users,36,53.267,12_17
40239,North Dakota,2006,50947,Marijuana,New Users,2,52.139,12_17
40240,Ohio,2006,971766,Marijuana,New Users,55,64.733,12_17
40241,Oklahoma,2006,299621,Marijuana,New Users,14,50.691,12_17
40242,Oregon,2006,297325,Marijuana,New Users,17,67.347,12_17
40243,Pennsylvania,2006,1018244,Marijuana,New Users,52,57.184,12_17
40244,Rhode Island,2006,85339,Marijuana,New Users,5,75.851,12_17
40245,South Carolina,2006,362886,Marijuana,New Users,17,49.872,12_17
40246,South Dakota,2006,66722,Marijuana,New Users,3,47.037,12_17
40247,Tennessee,2006,496587,Marijuana,New Users,24,55.75,12_17
40248,Texas,2006,2105817,Marijuana,New Users,95,51.409,12_17
40249,Utah,2006,243193,Marijuana,New Users,9,34.193,12_17
40250,Vermont,2006,50946,Marijuana,New Users,3,81.474,12_17
40251,Virginia,2006,617354,Marijuana,New Users,30,54.569,12_17
40252,Washington,2006,534929,Marijuana,New Users,26,55.514,12_17
40253,West Virginia,2006,136317,Marijuana,New Users,6,52.822,12_17
40254,Wisconsin,2006,467728,Marijuana,New Users,25,61.544,12_17
40255,Wyoming,2006,42925,Marijuana,New Users,2,67.516,12_17
40256,Alabama,2007,383012,Marijuana,New Users,16,45.213,12_17
40257,Alaska,2007,62685,Marijuana,New Users,3,61.479,12_17
40258,Arizona,2007,537098,Marijuana,New Users,25,54.975,12_17
40259,Arkansas,2007,232677,Marijuana,New Users,10,49.327,12_17
40260,California,2007,3209102,Marijuana,New Users,157,55.822,12_17
40261,Colorado,2007,387018,Marijuana,New Users,22,74.241,12_17
40262,Connecticut,2007,292219,Marijuana,New Users,17,65.952,12_17
40263,Delaware,2007,69899,Marijuana,New Users,3,53.768,12_17
40264,District of Columbia,2007,37001,Marijuana,New Users,2,68.32,12_17
40265,Florida,2007,1368710,Marijuana,New Users,64,51.703,12_17
40266,Georgia,2007,824664,Marijuana,New Users,37,52.416,12_17
